,do,da,dz,db,sigma,iter,mask_ratio,recon_loss,act_mse,obs_mse,noi_mse
89,128,8,9,8,1.0,40000,0.01,0.05706861987709999,0.007975559681653976,1.0051919221878052,0.9007988572120667
90,128,8,9,8,1.0,40000,0.05,0.05632051080465317,0.001349718775600195,1.0227000713348389,0.8896387815475464
91,128,8,9,8,1.0,40000,0.1,0.05873061344027519,0.0009821420535445213,0.9873504638671875,0.8999545574188232
92,128,8,10,8,1.0,40000,0.0,0.03640596568584442,0.3751876950263977,0.9942758083343506,0.37916243076324463
93,128,8,10,8,1.0,40000,0.01,0.047029636800289154,0.005255635362118483,1.0122170448303223,0.7372029423713684
94,128,8,10,8,1.0,40000,0.05,0.04885542765259743,0.0023036040365695953,1.0208553075790405,0.7640264630317688
95,128,8,10,8,1.0,40000,0.1,0.04353698343038559,0.0007760655134916306,0.9898601770401001,0.68508380651474
96,128,8,11,8,1.0,40000,0.0,0.02967377007007599,0.33000901341438293,1.0083274841308594,0.323795348405838
97,128,8,11,8,1.0,40000,0.01,0.0405019074678421,0.004921067040413618,0.9877535700798035,0.6558551788330078
98,128,8,11,8,1.0,40000,0.05,0.04036920145153999,0.002067001536488533,0.9983584880828857,0.6124457120895386
99,128,8,11,8,1.0,40000,0.1,0.037547606974840164,0.0009816513629630208,0.9984295964241028,0.5809846520423889
100,128,8,12,8,1.0,40000,0.0,0.023476243019104004,0.27624034881591797,1.001603364944458,0.27790555357933044
101,128,8,12,8,1.0,40000,0.01,0.032842788845300674,0.005053900182247162,0.9959639310836792,0.5083922147750854
102,128,8,12,8,1.0,40000,0.05,0.03372931852936745,0.0016329565551131964,1.009682297706604,0.5362865328788757
103,128,8,12,8,1.0,40000,0.1,0.029513264074921608,0.0005548536428250372,0.9982046484947205,0.4598628878593445
104,128,8,13,8,1.0,40000,0.0,0.02011750638484955,0.2227008044719696,1.0046181678771973,0.21953755617141724
105,128,8,13,8,1.0,40000,0.01,0.02284993790090084,0.004766981117427349,1.009996771812439,0.3555964231491089
106,128,8,13,8,1.0,40000,0.05,0.023503828793764114,0.0007241932325996459,1.020605206489563,0.3710436522960663
107,128,8,13,8,1.0,40000,0.1,0.020488768815994263,0.0007530940347351134,0.9794445633888245,0.3258332908153534
108,128,8,14,8,1.0,40000,0.0,0.010290002450346947,0.12601670622825623,0.9853565096855164,0.12267408519983292
109,128,8,14,8,1.0,40000,0.01,0.015429466962814331,0.0057234689593315125,0.989416241645813,0.25081318616867065
110,128,8,14,8,1.0,40000,0.05,0.017606288194656372,0.0035893102176487446,1.0039544105529785,0.2681277096271515
111,128,8,14,8,1.0,40000,0.1,0.015236593782901764,0.00043507132795639336,0.9974166750907898,0.23307736217975616
112,128,8,15,8,1.0,40000,0.0,0.005668743513524532,0.07192422449588776,0.9918515682220459,0.06998201459646225
113,128,8,15,8,1.0,40000,0.01,0.0070192329585552216,0.005526080261915922,0.9954499006271362,0.10946142673492432
114,128,8,15,8,1.0,40000,0.05,0.010257173329591751,0.000525430019479245,0.9909850358963013,0.15908759832382202
115,128,8,15,8,1.0,40000,0.1,0.006873494479805231,0.0005812541348859668,1.002950668334961,0.10216205567121506
116,128,8,16,8,1.0,40000,0.0,6.195706373546273e-05,0.00018453560187481344,1.006949782371521,0.00014705350622534752
117,128,8,16,8,1.0,40000,0.01,4.468507177080028e-05,0.004155041184276342,0.9925249814987183,0.000981988850980997
118,128,8,16,8,1.0,40000,0.05,6.497987487819046e-05,0.001439931453205645,0.9791929125785828,0.00046388109331019223
119,128,8,16,8,1.0,40000,0.1,4.055232784594409e-05,0.0003594511654227972,1.002591848373413,0.00011999561684206128
120,128,8,2,8,2.0,40000,0.0,0.250619113445282,0.9546179175376892,1.0105546712875366,0.775330662727356
121,128,8,2,8,2.0,40000,0.01,0.31997331976890564,0.7832281589508057,0.9949092864990234,1.0775136947631836
122,128,8,2,8,2.0,40000,0.05,0.3230968117713928,0.7679309844970703,0.9975090026855469,1.0897146463394165
123,128,8,2,8,2.0,40000,0.1,0.31170135736465454,0.7737652063369751,0.9887723326683044,1.0525460243225098
